SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,November-16-2020,Single Family Residential,7428 Stacy Dr,Nashville,TN,37221,400000,3,2.0,Cross Timbers,1933,13939,1968,,207,,Sold,,,http://www.redfin.com/TN/Nashville/7428-Stacy-Dr-37221/home/108097418,REALTRACS,2198407,N,Y,36.0762508,-86.9379086
PAST SALE,February-26-2021,Single Family Residential,598 Hill Creek Dr,Nashville,TN,37211,345000,4,2.0,Candlestick Farms,1799,19602,1965,,192,,Sold,,,http://www.redfin.com/TN/Nashville/598-Hill-Creek-Dr-37211/home/60845692,REALTRACS,2211213,N,Y,36.0628783,-86.7360777
PAST SALE,February-17-2021,Single Family Residential,3712 Moss Rose Dr,Nashville,TN,37216,220000,3,1.0,Moss Rose Estates,1758,22215,1978,,125,,Sold,,,http://www.redfin.com/TN/Nashville/3712-Moss-Rose-Dr-37216/home/108121447,REALTRACS,2225059,N,Y,36.2018565,-86.6973982
PAST SALE,March-17-2021,Single Family Residential,1518 Norvel Ave,Nashville,TN,37216,520000,3,2.5,Inglewood Golf Club,1920,10890,1974,,271,,Sold,,,http://www.redfin.com/TN/Nashville/1518-Norvel-Ave-37216/home/107984426,REALTRACS,2230298,N,Y,36.2122157,-86.7194054
PAST SALE,April-5-2021,Single Family Residential,1401 Mcalpine Ave,Nashville,TN,37216,475000,3,2.0,Country Club Estates,1922,13068,1947,,247,,Sold,,,http://www.redfin.com/TN/Nashville/1401-McAlpine-Ave-37216/home/107984453,REALTRACS,2235825,N,Y,36.2153535,-86.7142987
PAST SALE,,Single Family Residential,1413 Trace Ridge Ln,Nashville,TN,37221,481000,3,2.5,,1984,10890,2001,,242,,,,,http://www.redfin.com/TN/Nashville/1413-Trace-Ridge-Ln-37221/home/108045951,,,N,Y,36.0322597,-86.9658449
PAST SALE,December-15-2020,Single Family Residential,521 N Wilson Blvd,Nashville,TN,37205,595000,3,2.0,Historic Richland West End,1922,13939,1920,,310,,Sold,,,http://www.redfin.com/TN/Nashville/521-N-Wilson-Blvd-37205/home/108002297,REALTRACS,2205682,N,Y,36.1383599,-86.833741
PAST SALE,,Single Family Residential,204 Bellmore Ave,Nashville,TN,37209,263000,4,2.0,,1950,10890,1959,,135,,,,,http://www.redfin.com/TN/Nashville/204-Bellmore-Ave-37209/home/68800570,,,N,Y,36.1450038,-86.8607522
PAST SALE,March-12-2021,Single Family Residential,201 Bellmore Ave,Nashville,TN,37209,435000,5,4.0,John M Branham Farm,1963,12632,1946,,222,,Sold,,,http://www.redfin.com/TN/Nashville/201-Bellmore-Ave-37209/home/92720650,REALTRACS,2209810,N,Y,36.1445972,-86.8614184
PAST SALE,November-30-2020,Single Family Residential,635 River Rouge Dr,Nashville,TN,37209,430000,4,2.0,Charlotte Park,1944,20908,1963,,221,,Sold,,,http://www.redfin.com/TN/Nashville/635-River-Rouge-Dr-37209/home/87804987,REALTRACS,2188513,N,Y,36.1533177,-86.8871242
