SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,April-16-2021,Townhouse,2120 Lebanon Pike #104,Nashville,TN,37210,230000,3,2.5,Easthaven,1452,871,2003,,158,125,Sold,,,http://www.redfin.com/TN/Nashville/2120-Lebanon-Pike-37210/unit-104/home/60656378,REALTRACS,2234937,N,Y,36.1635806,-86.7026493
PAST SALE,February-23-2021,Townhouse,1023 Treaty Oaks Dr,Nashville,TN,37209,405000,3,3.0,Treaty Oaks Cottages,1500,871,2017,,270,130,Sold,,,http://www.redfin.com/TN/Nashville/1023-Treaty-Oaks-Dr-37209/home/112481777,REALTRACS,2224329,N,Y,36.162335,-86.8594041
PAST SALE,May-11-2021,Condo/Co-op,223 Wynbrook Ct,Nashville,TN,37221,265000,2,2.5,Wynbrook,1422,871,1987,,186,289,Sold,,,http://www.redfin.com/TN/Nashville/223-Wynbrook-Ct-37221/home/108131705,REALTRACS,2247253,N,Y,36.071174,-86.92846
PAST SALE,January-22-2021,Townhouse,917 Spence Enclave Ct,Nashville,TN,37210,249600,3,2.5,Spence Enclave,1450,871,2012,,172,110,Sold,,,http://www.redfin.com/TN/Nashville/917-Spence-Enclave-Ct-37210/home/68703136,REALTRACS,2211069,N,Y,36.153518,-86.71933
PAST SALE,January-31-2021,Condo/Co-op,3818 West End Ave #305,Nashville,TN,37205,293750,2,2.0,The Montclair,1314,1306,1987,,224,347,Sold,,,http://www.redfin.com/TN/Nashville/3818-W-End-Ave-37205/unit-305/home/60657712,REALTRACS,2213403,N,Y,36.1322112,-86.8328979
PAST SALE,March-13-2021,Single Family Residential,1803 Broadway #531,Nashville,TN,37203,446000,3,2.0,Bristol On Broadway,1401,871,2005,,318,404,Sold,,,http://www.redfin.com/TN/Nashville/1803-Broadway-37203/unit-531/home/97609949,REALTRACS,2211079,N,Y,36.1515375,-86.7953035
PAST SALE,March-3-2021,Townhouse,711 Joseph Ave,Nashville,TN,37207,318500,3,1.5,Townwood Homes,1300,2178,1963,,245,,Sold,,,http://www.redfin.com/TN/Nashville/711-Joseph-Ave-37207/home/108122226,REALTRACS,2206392,N,Y,36.1834841,-86.7723023
PAST SALE,November-16-2020,Townhouse,229 Orlando Ave Unit A,Nashville,TN,37209,327000,2,2.5,Orlando Place,1399,871,2002,,234,140,Sold,,,http://www.redfin.com/TN/Nashville/229-Orlando-Ave-37209/unit-A/home/60657260,REALTRACS,2196005,N,Y,36.147259,-86.856848
PAST SALE,December-7-2020,Single Family Residential,304 Errol Ln,Nashville,TN,37209,229000,3,3.0,Sylvan Heights,1375,2178,1989,,167,36,Sold,,,http://www.redfin.com/TN/Nashville/304-Errol-Ln-37209/home/107985902,REALTRACS,2203005,N,Y,36.1638631,-86.8737131
PAST SALE,December-29-2020,Townhouse,666 Vernon Ave,Nashville,TN,37209,270000,3,2.5,Vernon Avenue Townhomes,1302,871,2006,,207,140,Sold,,,http://www.redfin.com/TN/Nashville/666-Vernon-Ave-37209/home/107989163,REALTRACS,2207042,N,Y,36.160982,-86.867581
PAST SALE,January-4-2021,Single Family Residential,1044 Treaty Oaks Dr,Nashville,TN,37209,400000,2,2.5,Treaty Oaks Cottages,1430,871,2019,,280,130,Sold,,,http://www.redfin.com/TN/Nashville/1044-Treaty-Oaks-Dr-37209/unit-25/home/170540410,REALTRACS,2204138,N,Y,36.1618969,-86.8584803
PAST SALE,December-28-2020,Townhouse,512 Hume St,Nashville,TN,37208,385000,1,1.5,6th & Hume Street,1326,871,2007,,290,50,Sold,,,http://www.redfin.com/TN/Nashville/512-Hume-St-37208/home/68851819,REALTRACS,2205136,N,Y,36.180214,-86.7924
PAST SALE,April-1-2021,Single Family Residential,1125 10th Ave N #505,Nashville,TN,37208,560000,2,2.0,The Ludlow,1406,1306,2020,,398,394,Sold,,,http://www.redfin.com/TN/Nashville/1125-10th-Ave-N-37208/unit-505/home/172664903,REALTRACS,2176939,N,Y,36.1731399,-86.7953212
