SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,November-18-2020,Townhouse,2715 Smith Springs Rd,Nashville,TN,37217,225000,3,2.0,Spring View Townhomes,2000,1306,1984,,113,190,Sold,,,http://www.redfin.com/TN/Nashville/2715-Smith-Springs-Rd-37217/home/60650982,REALTRACS,2193727,N,Y,36.0894733,-86.624853
PAST SALE,February-24-2021,Single Family Residential,720 Webster St,Nashville,TN,37221,635000,3,2.5,Stephens Valley,2190,,2021,,290,83,Sold,,,http://www.redfin.com/TN/NASHVILLE/720-WEBSTER-ST-37221/home/169632774,REALTRACS,2223332,N,Y,36.02793,-86.966449
PAST SALE,February-9-2021,Condo/Co-op,239 White Bridge Pike #11,Nashville,TN,37209,499000,3,3.5,Summit At Whitebridge,2042,871,2019,,244,225,Sold,,,http://www.redfin.com/TN/Nashville/239-White-Bridge-Pike-37209/unit-11/home/145546589,REALTRACS,2178821,N,Y,36.1417398,-86.8576015
PAST SALE,April-1-2021,Single Family Residential,611 Linden Rose Aly,Nashville,TN,37209,579900,3,3.5,White Bridge,2195,871,2020,,264,155,Sold,,,http://www.redfin.com/TN/Nashville/611-Linden-Rose-Aly-37209/home/174104883,REALTRACS,2226001,N,Y,36.143352,-86.860045
PAST SALE,February-19-2021,Single Family Residential,607 Linden Rose Aly,Nashville,TN,37209,579900,3,3.5,White Bridge,2195,871,2020,,264,155,Sold,,,http://www.redfin.com/TN/Nashville/607-Linden-Rose-Aly-37209/home/174104876,REALTRACS,2205871,N,Y,36.143199,-86.860041
PAST SALE,April-22-2021,Single Family Residential,704 Centerpoint Ln,Nashville,TN,37209,505000,3,3.5,Richland Station,2022,871,2015,,250,115,Sold,,,http://www.redfin.com/TN/Nashville/704-Centerpoint-Ln-37209/home/102290326,REALTRACS,2236643,N,Y,36.1502115,-86.8524034
PAST SALE,April-16-2021,Single Family Residential,608 Centerpoint Ln,Nashville,TN,37209,485000,3,3.5,Richland Station,2022,871,2015,,240,115,Sold,,,http://www.redfin.com/TN/Nashville/608-Centerpoint-Ln-37209/home/79032104,REALTRACS,2227514,N,Y,36.1504921,-86.8530012
PAST SALE,December-30-2020,Single Family Residential,2107 Creighton Ave,Nashville,TN,37206,502000,3,2.5,2105 And 2107 Creighton Av,2182,1306,2017,,230,,Sold,,,http://www.redfin.com/TN/Nashville/2107-Creighton-Ave-37206/home/144498348,REALTRACS,2208506,N,Y,36.1902422,-86.727473
PAST SALE,March-12-2021,Single Family Residential,109A Creighton Ave,Nashville,TN,37206,560000,3,2.5,109 Creighton Ave,2244,6098,2015,,250,,Sold,,,http://www.redfin.com/TN/Nashville/109A-Creighton-Ave-37206/home/147977625,REALTRACS,2221522,N,Y,36.1913593,-86.7291951
PAST SALE,January-21-2021,Condo/Co-op,1519B Straightway Ave,Nashville,TN,37206,518000,3,2.5,The Estates At 1519 Straig,2119,4356,2014,,244,,Sold,,,http://www.redfin.com/TN/Nashville/1519B-Straightway-Ave-37206/home/147972939,REALTRACS,2213603,N,Y,36.1933992,-86.7381365
