SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,March-4-2021,Single Family Residential,4016 Outer Dr,Nashville,TN,37204,1792500,5,5.5,Rolling Meadows,4753,20473,2018,,377,,Sold,,,http://www.redfin.com/TN/Nashville/4016-Outer-Dr-37204/home/68813016,REALTRACS,2221812,N,Y,36.1021812,-86.7823823
PAST SALE,March-15-2021,Single Family Residential,4405 Lealand Ln,Nashville,TN,37204,1645000,5,5.0,4405 Lealand Lane Cottages,4918,15681,2014,,334,,Sold,,,http://www.redfin.com/TN/Nashville/4405-Lealand-Ln-37204/home/60735673,REALTRACS,2223915,N,Y,36.0918283,-86.7909981
PAST SALE,April-14-2021,Single Family Residential,2811 Oakland Ave,Nashville,TN,37212,1800000,4,4.5,Belmont,4876,7840,1936,,369,,Sold,,,http://www.redfin.com/TN/Nashville/2811-Oakland-Ave-37212/home/108126969,REALTRACS,2184064,N,Y,36.1217732,-86.79663
PAST SALE,February-22-2021,Single Family Residential,6001 Sherwood Dr,Nashville,TN,37215,1525000,4,5.0,Hillsboro Park,4396,57934,1966,,347,,Sold,,,http://www.redfin.com/TN/Nashville/6001-Sherwood-Dr-37215/home/86042472,REALTRACS,2230131,N,Y,36.058211,-86.837434
PAST SALE,April-9-2021,Single Family Residential,2990 Polo Club Rd,Nashville,TN,37221,1025000,5,4.0,Horseshoe Bend Ph 3-A,4336,21780,1997,,236,75,Sold,,,http://www.redfin.com/TN/Nashville/2990-Polo-Club-Rd-37221/home/87881272,REALTRACS,2232142,N,Y,36.0468463,-86.9308073
PAST SALE,February-26-2021,Single Family Residential,2253B Castleman Dr,Nashville,TN,37215,1300000,4,3.5,Homes At 2253 Castleman Dr,4056,3049,2017,,321,,Sold,,,http://www.redfin.com/TN/Nashville/2253B-Castleman-Dr-37215/home/173411063,REALTRACS,2218019,N,Y,36.0999354,-86.8271886
PAST SALE,April-28-2021,Single Family Residential,2400 Vale Ln,Nashville,TN,37214,280000,3,3.0,Sunset View,4063,45738,1950,,69,,Sold,,,http://www.redfin.com/TN/Nashville/2400-Vale-Ln-37214/home/107994637,REALTRACS,2221175,N,Y,36.1991354,-86.6808989
PAST SALE,March-19-2021,Single Family Residential,901 Belden Way,Nashville,TN,37221,850000,4,3.5,Breckston Park Sec 2,4603,25264,2006,,185,42,Sold,,,http://www.redfin.com/TN/Nashville/901-Belden-Way-37221/home/60720736,REALTRACS,2221025,N,Y,36.03362,-86.957463
PAST SALE,February-26-2021,Single Family Residential,4013 Nebraska Ave,Nashville,TN,37209,1250000,4,7.0,Sylvan Park,4000,7405,2020,,313,,Sold,,,http://www.redfin.com/TN/Nashville/4013-Nebraska-Ave-37209/home/108052451,REALTRACS,2185906,N,Y,36.1426076,-86.8340547
PAST SALE,March-12-2021,Single Family Residential,104 Hanover Sq,Nashville,TN,37215,1017000,4,5.0,Hanover Square,4288,3484,1979,,237,167,Sold,,,http://www.redfin.com/TN/Nashville/104-Hanover-Sq-37215/home/68781001,REALTRACS,2205488,N,Y,36.1240876,-86.8327606
