SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,February-26-2021,Single Family Residential,2241 Seven Points Cir,Hermitage,TN,37076,449900,4,3.5,Meadows Of Seven Points,3114,13503,2006,,144,19,Sold,,,http://www.redfin.com/TN/Hermitage/2241-Seven-Points-Cir-37076/home/108071119,REALTRACS,2222066,N,Y,36.148627,-86.5746896
PAST SALE,February-11-2021,Single Family Residential,218 Rising Sun Ter,Old Hickory,TN,37138,615000,5,3.0,Brandywine Farms,3500,43124,1974,,176,,Sold,,,http://www.redfin.com/TN/Old-Hickory/218-Rising-Sun-Ter-37138/home/60854468,REALTRACS,2217709,N,Y,36.2384041,-86.6123848
PAST SALE,,Condo/Co-op,101 Morton Mill Cir,Nashville,TN,37221,365000,3,3.0,,2818,,1987,,130,,,,,http://www.redfin.com/TN/Nashville/101-Morton-Mill-Cir-37221/home/60790949,,,N,Y,36.065512,-86.9578049
PAST SALE,January-4-2021,Single Family Residential,119 Steeplechase Ln,Nashville,TN,37221,635000,4,3.0,Steeplechase Sec 2,3120,41382,1974,,204,,Sold,,,http://www.redfin.com/TN/Nashville/119-Steeplechase-Ln-37221/home/87881176,REALTRACS,2209453,N,Y,36.044772,-86.9102964
PAST SALE,April-5-2021,Single Family Residential,8021 Meadow View Dr,Nashville,TN,37221,625000,4,3.5,Templegate,3407,37461,2000,,183,,Sold,,,http://www.redfin.com/TN/Nashville/8021-Meadow-View-Dr-37221/home/108070173,REALTRACS,2228017,N,Y,36.0433309,-86.9469381
PAST SALE,,Condo/Co-op,3712 Hobbs Rd,Nashville,TN,37215,750000,3,3.0,,3096,,1981,,242,,,,,http://www.redfin.com/TN/Nashville/3712-Hobbs-Rd-37215/home/60646114,,,N,Y,36.1034597,-86.8369565
PAST SALE,,Condo/Co-op,3304 Hobbs Rd Unit B,Nashville,TN,37215,794999,4,4.5,,3015,,2017,,264,,,,,http://www.redfin.com/TN/Nashville/3304-Hobbs-Rd-37215/unit-B/home/144496859,,,N,Y,36.1024493,-86.8299959
PAST SALE,January-8-2021,Single Family Residential,2207B Hobbs Rd,Nashville,TN,37215,949000,4,3.5,Green Hills,3293,2178,2014,,288,,Sold,,,http://www.redfin.com/TN/Nashville/2207B-Hobbs-Rd-37215/home/147958694,REALTRACS,2215149,N,Y,36.1009988,-86.82325
PAST SALE,April-6-2021,Single Family Residential,2241B Castleman Dr,Nashville,TN,37215,871000,3,2.5,Green Hills,3195,12632,2009,,273,,Sold,,,http://www.redfin.com/TN/Nashville/2241B-Castleman-Dr-37215/home/147999584,REALTRACS,2229878,N,Y,36.0997305,-86.825819
PAST SALE,March-26-2021,Single Family Residential,1316 Riverwood Dr,Nashville,TN,37216,750000,5,4.0,Inglewood,3141,19166,1935,,239,,Sold,,,http://www.redfin.com/TN/Nashville/1316-Riverwood-Dr-37216/home/108121502,REALTRACS,2219149,N,Y,36.2193263,-86.7135498
