SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,January-19-2021,Townhouse,855 S Douglas Ave,Nashville,TN,37204,367000,2,2.5,Waverly Place II Townhomes,1116,435,2005,,329,189,Sold,,,http://www.redfin.com/TN/Nashville/855-S-Douglas-Ave-37204/home/108029211,REALTRACS,2201135,N,Y,36.130903,-86.779889
PAST SALE,February-25-2021,Condo/Co-op,2600 Hillsboro Pike #111,Nashville,TN,37212,334500,1,1.0,The Enclave At Hillsboro V,1196,1306,2006,,280,310,Sold,,,http://www.redfin.com/TN/Nashville/2600-Hillsboro-Pike-37212/unit-111/home/108019111,REALTRACS,2215390,N,Y,36.124674,-86.805364
PAST SALE,December-15-2020,Single Family Residential,201 Riverstone Ct,Nashville,TN,37214,214900,2,2.0,Riverstone,1140,1306,1987,,189,148,Sold,,,http://www.redfin.com/TN/Nashville/201-Riverstone-Ct-37214/home/108087135,REALTRACS,2206192,N,Y,36.171732,-86.654334
PAST SALE,April-9-2021,Single Family Residential,2600 Hillsboro Pike #401,Nashville,TN,37212,319900,1,1.0,The Enclave At Hillsboro V,1196,871,2006,,267,315,Sold,,,http://www.redfin.com/TN/Nashville/2600-Hillsboro-Pike-37212/unit-401/home/60667046,REALTRACS,2223302,N,Y,36.124674,-86.805364
PAST SALE,February-12-2021,Townhouse,1024 Capital Funds Ct,Nashville,TN,37217,175000,2,1.5,Villas At Ramson Park,1206,871,2006,,145,110,Sold,,,http://www.redfin.com/TN/Nashville/1024-Capital-Funds-Ct-37217/home/108046022,REALTRACS,2201811,N,Y,36.0890538,-86.6510214
PAST SALE,December-22-2020,Townhouse,3055 Harpeth Springs Dr,Nashville,TN,37221,225000,2,2.5,Riverbridge Community,1216,871,2003,,185,120,Sold,,,http://www.redfin.com/TN/Nashville/3055-Harpeth-Springs-Dr-37221/unit-27/home/108060110,REALTRACS,2209186,N,Y,36.0708941,-86.9749124
PAST SALE,December-11-2020,Townhouse,8187 Coley Davis Rd,Nashville,TN,37221,196000,2,2.0,Poplar Ridge Condominiums,1122,1306,2000,,175,165,Sold,,,http://www.redfin.com/TN/Nashville/8187-Coley-Davis-Rd-37221/home/60661346,REALTRACS,2201565,N,Y,36.072685,-86.9836119
PAST SALE,April-23-2021,Townhouse,127 Thistle Ln,Hermitage,TN,37076,172000,2,1.5,Hermitage Meadows,1116,871,1984,,154,130,Sold,,,http://www.redfin.com/TN/Hermitage/127-Thistle-Ln-37076/home/87815292,REALTRACS,2245011,N,Y,36.1754883,-86.6128037
PAST SALE,April-28-2021,Townhouse,1408 Riverbrook Dr,Hermitage,TN,37076,273500,2,2.5,Villages Of Riverwood,1216,1742,2010,,225,115,Sold,,,http://www.redfin.com/TN/Hermitage/1408-Riverbrook-Dr-37076/home/108139109,REALTRACS,2241577,N,Y,36.1687498,-86.6167333
PAST SALE,May-3-2021,Townhouse,134 Thistle Ln,Hermitage,TN,37076,199900,2,1.5,Hermitage Meadows,1116,871,1982,,179,130,Sold,,,http://www.redfin.com/TN/Hermitage/134-Thistle-Ln-37076/home/108060569,REALTRACS,2241075,N,Y,36.1750863,-86.6112326
