SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,April-30-2021,Single Family Residential,1241 Lighthouse Pl,Brentwood,TN,37027,558000,4,2.5,Banbury Crossing,2833,11325,2005,,197,40,Sold,,,http://www.redfin.com/TN/Brentwood/1241-Lighthouse-Pl-37027/home/68833949,REALTRACS,2239187,N,Y,36.021572,-86.7499228
PAST SALE,,Single Family Residential,1309 Lone Oak Cir,Nashville,TN,37215,2310000,6,6.5,,6826,44867,2020,,338,,,,,http://www.redfin.com/TN/Nashville/1309-Lone-Oak-Cir-37215/home/148401467,,,N,Y,36.092906,-86.808443
PAST SALE,February-4-2021,Single Family Residential,4812 Medalist Cir,Hermitage,TN,37076,487900,4,2.5,The Reserve At Stone Hall,2752,9583,2015,,177,63,Sold,,,http://www.redfin.com/TN/Hermitage/4812-Medalist-Cir-37076/home/68550395,REALTRACS,2213111,N,Y,36.1917245,-86.6368215
PAST SALE,December-29-2020,Single Family Residential,8008 Poplarwood Rd,Nashville,TN,37221,490000,3,3.0,Poplarwood Estates,2959,9583,1998,,166,42,Sold,,,http://www.redfin.com/TN/Nashville/8008-Poplarwood-Rd-37221/home/108043540,REALTRACS,2209127,N,Y,36.0560711,-86.9723611
PAST SALE,February-12-2021,Single Family Residential,612 Jackson Falls Dr,Nashville,TN,37221,730941,4,3.5,Stephens Valley,2807,,2020,,260,11,Sold,,,http://www.redfin.com/TN/NASHVILLE/612-JACKSON-FALLS-DR-37221/home/173377111,REALTRACS,2194844,N,Y,36.027454,-86.965727
PAST SALE,March-13-2021,Single Family Residential,6133 Tuliptree Ln,Nashville,TN,37221,424000,4,2.5,Poplar Creek Estates,2764,12196,1986,,153,19,Sold,,,http://www.redfin.com/TN/Nashville/6133-Tuliptree-Ln-37221/home/108069223,REALTRACS,2228747,N,Y,36.0495315,-86.9574808
PAST SALE,March-19-2021,Single Family Residential,628 Jackson Falls Dr,Nashville,TN,37221,726360,4,3.5,Stephens Valley,2789,,2020,,260,130,Sold,,,http://www.redfin.com/TN/Nashville/628-Jackson-Downs-Blvd-37214/home/173377115,REALTRACS,2194804,N,Y,36.027374,-86.966596
PAST SALE,January-22-2021,Single Family Residential,148 50th Ave N,Nashville,TN,37209,945603,4,3.5,Sylvan Park,2939,12632,2020,,322,,Sold,,,http://www.redfin.com/TN/Nashville/148-50th-Ave-N-37209/home/87826766,REALTRACS,2142559,N,Y,36.144721,-86.845857
PAST SALE,,Condo/Co-op,1028 18th Ave S Unit A,Nashville,TN,37212,620000,3,3.0,,2764,,1981,,224,,,,,http://www.redfin.com/TN/Nashville/1028-18th-Ave-S-37212/unit-A/home/87826765,,,N,Y,36.1450109,-86.7951099
PAST SALE,April-8-2021,Single Family Residential,2111 Crestline Dr,Nashville,TN,37214,439900,3,2.5,Donelson Meadows,2880,18295,1992,,153,,Sold,,,http://www.redfin.com/TN/Nashville/2111-Crestline-Dr-37214/home/107997001,REALTRACS,2233729,N,Y,36.1739228,-86.6935597
