SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,February-26-2021,Single Family Residential,4200 Estes Rd,Nashville,TN,37215,1150000,3,2.0,Comptonwood,2023,40510,1966,,568,,Sold,,,http://www.redfin.com/TN/Nashville/4200-Estes-Rd-37215/home/108093040,REALTRACS,2222101,N,Y,36.1025503,-86.8378583
PAST SALE,March-26-2021,Single Family Residential,1827 Willow Springs Dr,Nashville,TN,37216,390000,3,2.0,Burchwood Gardens,2150,23086,1961,,181,,Sold,,,http://www.redfin.com/TN/Nashville/1827-Willow-Springs-Dr-37216/home/108078375,REALTRACS,2222379,N,Y,36.2000501,-86.7071386
PAST SALE,January-7-2021,Single Family Residential,863 Brook Hollow Rd,Nashville,TN,37205,436750,4,3.0,Horton Heights,2200,31798,1954,,199,,Sold,,,http://www.redfin.com/TN/Nashville/863-Brook-Hollow-Rd-37205/home/108025710,REALTRACS,2206187,N,Y,36.1353278,-86.8852315
PAST SALE,March-11-2021,Single Family Residential,549 Green Ln,Whites Creek,TN,37189,420000,4,3.0,Green Lane,2107,35719,2020,,199,,Sold,,,http://www.redfin.com/TN/Whites-Creek/549-Green-Ln-37189/home/91353437,REALTRACS,2213031,N,Y,36.235675,-86.8124
PAST SALE,March-26-2021,Single Family Residential,2709 Western Hills Dr,Nashville,TN,37214,240000,3,1.5,Sutherland Heights,2097,29620,1960,,114,,Sold,,,http://www.redfin.com/TN/Nashville/2709-Western-Hills-Dr-37214/home/107995151,REALTRACS,2229515,N,Y,36.2168524,-86.6836721
PAST SALE,,Single Family Residential,4107 Eatons Creek Rd,Nashville,TN,37218,335000,3,2.0,,2024,27007,1998,,166,,,,,http://www.redfin.com/TN/Nashville/4107-Eatons-Creek-Rd-37218/home/108050866,,,N,Y,36.2093654,-86.8631528
PAST SALE,February-12-2021,Single Family Residential,306 Alta Loma Rd,Goodlettsville,TN,37072,255000,3,2.0,Alta Loma,2053,35283,1956,,124,,Sold,,,http://www.redfin.com/TN/Goodlettsville/306-Alta-Loma-Rd-37072/home/107989383,REALTRACS,2209850,N,Y,36.2947425,-86.7085386
PAST SALE,November-13-2020,Single Family Residential,1266 Campbell Rd,Goodlettsville,TN,37072,240000,3,2.0,Goodlettsville,2210,132858,1975,,109,,Sold,,,http://www.redfin.com/TN/Goodlettsville/1266-Campbell-Rd-37072/home/87828419,REALTRACS,2171561,N,Y,36.2948111,-86.7482571
PAST SALE,,Single Family Residential,170 Haverford Ave,Nashville,TN,37205,660000,4,2.0,,2012,35284,1950,,328,,,,,http://www.redfin.com/TN/Nashville/170-Haverford-Ave-37205/home/60831987,,,N,Y,36.1037679,-86.8767303
PAST SALE,,Single Family Residential,725 Georgetown Dr,Nashville,TN,37205,485000,3,2.0,,2246,43996,1955,,216,,,,,http://www.redfin.com/TN/Nashville/725-Georgetown-Dr-37205/home/108049361,,,N,Y,36.1195227,-86.8901768
