SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,April-20-2021,Single Family Residential,627 Skyview Dr,Nashville,TN,37206,400000,3,1.0,Rolling Acres,1704,11325,1945,,235,,Sold,,,http://www.redfin.com/TN/Nashville/627-Skyview-Dr-37206/home/108124220,REALTRACS,2231104,N,Y,36.1800263,-86.7314414
PAST SALE,December-9-2020,Single Family Residential,710 Old Glenrose Ave,Nashville,TN,37210,346750,3,2.0,730 Old Glenrose Ave,1723,13503,1922,,201,,Sold,,,http://www.redfin.com/TN/Nashville/710-Old-Glenrose-Ave-37210/home/87806087,REALTRACS,2158980,N,Y,36.1196041,-86.7286901
PAST SALE,February-26-2021,Single Family Residential,106 Spero Rd,Goodlettsville,TN,37072,260000,3,2.0,Blair Manor,1700,41382,1963,,153,,Sold,,,http://www.redfin.com/TN/Goodlettsville/106-Spero-Rd-37072/home/108052162,REALTRACS,2213084,N,Y,36.2894108,-86.7270395
PAST SALE,May-3-2021,Single Family Residential,821 Rose Park Dr,Nashville,TN,37206,440000,3,2.0,Rose Estates,1670,13939,1964,,263,,Sold,,,http://www.redfin.com/TN/Nashville/821-Rose-Park-Dr-37206/home/60752624,REALTRACS,2241461,N,Y,36.1862101,-86.7076607
PAST SALE,,Single Family Residential,1966 Loney Dr,Nashville,TN,37210,365000,2,1.0,,1587,24394,1950,,230,,,,,http://www.redfin.com/TN/Nashville/1966-Loney-Dr-37210/home/69378991,,,N,Y,36.1303714,-86.731716
PAST SALE,December-8-2020,Single Family Residential,276 38th Ave N,Nashville,TN,37209,414522,2,2.0,Sylvan Heights,1556,7840,1960,,266,,Sold,,,http://www.redfin.com/TN/Nashville/276-38th-Ave-N-37209/home/60853299,REALTRACS,2187425,N,Y,36.1475418,-86.8306375
PAST SALE,,Single Family Residential,121 39th Ave N,Nashville,TN,37209,425000,5,2.0,,1580,7841,1930,,269,,,,,http://www.redfin.com/TN/Nashville/121-39th-Ave-N-37209/home/108109770,,,N,Y,36.1422499,-86.831741
PAST SALE,December-31-2020,Single Family Residential,4115 Utah Ave,Nashville,TN,37209,480000,4,2.0,Sylvan Park,1525,6969,1969,,315,,Sold,,,http://www.redfin.com/TN/Nashville/4115-Utah-Ave-37209/home/108052856,REALTRACS,2210312,N,Y,36.144072,-86.836537
PAST SALE,April-28-2021,Single Family Residential,4305 Elkins Ave,Nashville,TN,37209,515000,4,2.0,Sylvan Park,1710,9147,1921,,301,,Sold,,,http://www.redfin.com/TN/Nashville/4305-Elkins-Ave-37209/home/87826478,REALTRACS,2240165,N,Y,36.14981,-86.838721
PAST SALE,,Single Family Residential,1809 Holly St,Nashville,TN,37206,400000,2,2.0,,1693,9583,1935,,236,,,,,http://www.redfin.com/TN/Nashville/1809-Holly-St-37206/home/107985833,,,N,Y,36.1751964,-86.7372565
