SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,April-23-2021,Townhouse,3110 Woodymore Dr,Antioch,TN,37013,195000,3,1.0,Woodymore Heights,1185,6969,1986,,165,,Sold,,,http://www.redfin.com/TN/Antioch/3110-Woodymore-Dr-37013/home/68710664,REALTRACS,2234144,N,Y,36.076293,-86.609455
PAST SALE,March-26-2021,Single Family Residential,340 Thelma St,Madison,TN,37115,163500,2,1.0,Woodlawn Estates,1000,8276,1950,,164,,Sold,,,http://www.redfin.com/TN/Madison/340-Thelma-St-37115/home/108024147,REALTRACS,2220478,N,Y,36.2645595,-86.7083192
PAST SALE,December-18-2020,Townhouse,1008 Patio Dr,Nashville,TN,37214,190000,2,1.5,Patio Villa,1020,6098,1986,,186,,Sold,,,http://www.redfin.com/TN/Nashville/1008-Patio-Dr-37214/home/108036576,REALTRACS,2206673,N,Y,36.1456084,-86.6404874
PAST SALE,April-15-2021,Single Family Residential,5805 Mackie Pl,Nashville,TN,37209,332500,3,2.0,Ries/Cockrill Farm,1120,5227,1992,,297,,Sold,,,http://www.redfin.com/TN/Nashville/5805-Mackie-Pl-37209/home/68840912,REALTRACS,2233386,N,Y,36.1563832,-86.8598507
PAST SALE,February-19-2021,Townhouse,1832 Riverbirch Ln,Hermitage,TN,37076,263000,2,2.5,Villages Of Riverwood,1216,2178,2017,,216,115,Sold,,,http://www.redfin.com/TN/Hermitage/1832-Riverbirch-Ln-37076/home/113427582,REALTRACS,2217099,N,Y,36.1697339,-86.6217441
PAST SALE,February-23-2021,Condo/Co-op,1808 Riverbirch Ln,Hermitage,TN,37076,261500,2,2.5,Villages Of Riverwood,1216,2613,2017,,215,115,Sold,,,http://www.redfin.com/TN/Hermitage/1808-Riverbirch-Ln-37076/home/113163756,REALTRACS,2216050,N,Y,36.169604,-86.621039
PAST SALE,December-16-2020,Single Family Residential,3213 Dockside Dr,Hermitage,TN,37076,215000,3,2.0,Lakeside Woods Estates,1136,10018,1992,,189,,Sold,,,http://www.redfin.com/TN/Hermitage/3213-Dockside-Dr-37076/home/108052537,REALTRACS,2190955,N,Y,36.1768522,-86.6208545
PAST SALE,November-18-2020,Single Family Residential,3308 Lakeside Pl,Hermitage,TN,37076,180000,2,1.5,Lakeside Woods Estates,1086,5662,1985,,166,,Sold,,,http://www.redfin.com/TN/Hermitage/3308-Lakeside-Pl-37076/home/68806950,REALTRACS,2192487,N,Y,36.17639,-86.617016
PAST SALE,March-5-2021,Single Family Residential,813 Norwalk Dr,Nashville,TN,37214,260000,3,2.0,Larchwood,1229,10018,1981,,212,,Sold,,,http://www.redfin.com/TN/Nashville/813-Norwalk-Dr-37214/home/107977749,REALTRACS,2226395,N,Y,36.1488558,-86.6291583
PAST SALE,April-7-2021,Townhouse,302 Lakebrink Dr,Nashville,TN,37214,195900,2,1.5,Larchwood,1156,2613,1987,,169,120,Sold,,,http://www.redfin.com/TN/Nashville/302-Lakebrink-Dr-37214/home/60664654,REALTRACS,2233791,N,Y,36.1493704,-86.6326461
PAST SALE,March-24-2021,Single Family Residential,4709 Nevada Ave,Nashville,TN,37209,400000,3,1.0,Charlotte Park,1100,7405,1930,,364,,Sold,,,http://www.redfin.com/TN/Nashville/4709-Nevada-Ave-37209/home/108052610,REALTRACS,2219071,N,Y,36.1483641,-86.8441905
PAST SALE,,Single Family Residential,203 Berry St,Nashville,TN,37207,233000,2,1.0,,1025,8712,1960,,227,,,,,http://www.redfin.com/TN/Nashville/203-Berry-St-37207/home/87826180,,,N,Y,36.1816012,-86.7712127
