SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,March-29-2021,Single Family Residential,3117 Barksdale Harbor Dr,Nashville,TN,37214,293000,3,2.5,River Trace Estates,1425,10018,2001,,206,10,Sold,,,http://www.redfin.com/TN/Nashville/3117-Barksdale-Harbor-Dr-37214/home/104491788,REALTRACS,2233429,N,Y,36.2380866,-86.6966903
PAST SALE,April-6-2021,Single Family Residential,1221 Pennock Ave,Nashville,TN,37207,300000,3,1.0,Crutcher/Lindsley,1384,8712,1920,,217,,Sold,,,http://www.redfin.com/TN/Nashville/1221-Pennock-Ave-37207/home/108119752,REALTRACS,2233347,N,Y,36.1935063,-86.7656957
PAST SALE,February-11-2021,Single Family Residential,296 Paragon Mills Rd,Nashville,TN,37211,280600,3,2.0,Greenwood Hills,1368,11325,1976,,205,,Sold,,,http://www.redfin.com/TN/Nashville/296-Paragon-Mills-Rd-37211/home/69079364,REALTRACS,2222005,N,Y,36.0876735,-86.7113729
PAST SALE,March-31-2021,Single Family Residential,3128 Richmond Hill Dr,Nashville,TN,37207,243000,3,1.5,Parkwood Estates,1450,11325,1961,,168,,Sold,,,http://www.redfin.com/TN/Nashville/3128-Richmond-Hill-Dr-37207/home/108024616,REALTRACS,2228513,N,Y,36.2358586,-86.7789049
PAST SALE,November-13-2020,Single Family Residential,2005 Ransom Pl,Nashville,TN,37217,243000,3,2.0,Ransom Place,1301,6534,1992,,187,6,Sold,,,http://www.redfin.com/TN/Nashville/2005-Ransom-Pl-37217/home/107976329,REALTRACS,2193929,N,Y,36.0876544,-86.653437
PAST SALE,February-25-2021,Single Family Residential,2804 Mossdale Dr,Nashville,TN,37217,269900,3,2.0,Edge-O-Lake Estates,1491,10018,1970,,181,,Sold,,,http://www.redfin.com/TN/Nashville/2804-Mossdale-Dr-37217/home/107985960,REALTRACS,2223548,N,Y,36.0801108,-86.6241222
PAST SALE,March-23-2021,Single Family Residential,534 Glengarry Dr,Nashville,TN,37217,282000,3,2.0,Glengarry Park,1323,27007,1959,,213,,Sold,,,http://www.redfin.com/TN/Nashville/534-Glengarry-Dr-37217/home/87806193,REALTRACS,2219284,N,Y,36.114182,-86.7102554
PAST SALE,February-12-2021,Single Family Residential,215 Wheeler Ave,Nashville,TN,37211,337900,3,2.0,Glencliff,1372,17859,1953,,246,,Sold,,,http://www.redfin.com/TN/Nashville/215-Wheeler-Ave-37211/home/87806529,REALTRACS,2219017,N,Y,36.0950841,-86.7315588
PAST SALE,February-10-2021,Single Family Residential,3611 Brush Hill Ct,Nashville,TN,37216,357000,3,1.0,Riverwood,1482,21780,1957,,241,,Sold,,,http://www.redfin.com/TN/Nashville/3611-Brush-Hill-Ct-37216/home/108066754,REALTRACS,2207245,N,Y,36.2188196,-86.709764
PAST SALE,April-22-2021,Single Family Residential,1505 Norvel Ave,Nashville,TN,37216,440000,3,2.0,Shadow Lawn,1400,7840,1950,,314,,Sold,,,http://www.redfin.com/TN/Nashville/1505-Norvel-Ave-37216/home/90419639,REALTRACS,2233198,N,Y,36.2139628,-86.7203187
PAST SALE,,Single Family Residential,1712 Welcome Ln,Nashville,TN,37216,412500,3,1.5,,1497,16988,1960,,276,,,,,http://www.redfin.com/TN/Nashville/1712-Welcome-Ln-37216/home/107983572,,,N,Y,36.1956401,-86.7059949
PAST SALE,May-3-2021,Single Family Residential,1600 Lethia Dr,Nashville,TN,37206,379000,3,1.0,Mailan Heights,1400,13503,1954,,271,,Sold,,,http://www.redfin.com/TN/Nashville/1600-Lethia-Dr-37206/home/60703926,REALTRACS,2240276,N,Y,36.1941056,-86.7051444
PAST SALE,,Single Family Residential,2008 19th Ave S,Nashville,TN,37212,775000,2,1.0,,1362,7841,1920,,569,,,,,http://www.redfin.com/TN/Nashville/2008-19th-Ave-S-37212/home/108125539,,,N,Y,36.132312,-86.7982979
PAST SALE,December-21-2020,Single Family Residential,621 N 2nd St,Nashville,TN,37207,410000,3,2.5,McFerrin Park,1380,6534,2007,,297,,Sold,,,http://www.redfin.com/TN/Nashville/621-N-2nd-St-37207/home/68853464,REALTRACS,2210681,N,Y,36.1828082,-86.7711931
PAST SALE,March-1-2021,Single Family Residential,804 Stockell St,Nashville,TN,37207,242500,3,1.0,Cleveland Park,1267,8712,1936,,191,,Sold,,,http://www.redfin.com/TN/Nashville/804-Stockell-St-37207/home/108121931,REALTRACS,2224665,N,Y,36.18451,-86.770046
PAST SALE,,Vacant Land,6015 Obrien Ave,Nashville,TN,37209,620000,2,1.0,,1452,21344,1948,,427,,,,,http://www.redfin.com/TN/Nashville/6015-Obrien-Ave-37209/home/108035076,,,N,Y,36.149409,-86.866654
PAST SALE,,Single Family Residential,1503 Porter Rd Unit B,Nashville,TN,37206,395000,3,2.0,,1327,9148,2009,,298,,,,,http://www.redfin.com/TN/Nashville/1503-Porter-Rd-37206/unit-B/home/108108098,,,N,Y,36.193486,-86.7258605
PAST SALE,December-28-2020,Single Family Residential,908 Riverside Dr,Nashville,TN,37206,311000,3,2.0,Hanley,1338,12632,1948,,232,,Sold,,,http://www.redfin.com/TN/Nashville/908-Riverside-Dr-37206/home/108075445,REALTRACS,2193778,N,Y,36.182756,-86.7257416
PAST SALE,,Single Family Residential,263 Riverside Dr,Nashville,TN,37206,583000,3,2.0,,1325,13939,1958,,440,,,,,http://www.redfin.com/TN/Nashville/263-Riverside-Dr-37206/home/68839260,,,N,Y,36.1755501,-86.726116
PAST SALE,November-20-2020,Single Family Residential,1115 Waggoner Ct W,Nashville,TN,37214,220000,3,2.0,Patio Villa,1270,6969,1986,,173,,Sold,,,http://www.redfin.com/TN/Nashville/1115-Waggoner-Ct-W-37214/home/108036903,REALTRACS,2195362,N,Y,36.146242,-86.641698
PAST SALE,March-19-2021,Single Family Residential,3410 Elm Hill Pike,Nashville,TN,37214,335000,3,2.5,Larchwood,1469,31363,1991,,228,,Sold,,,http://www.redfin.com/TN/Nashville/3410-Elm-Hill-Pike-37214/home/108038765,REALTRACS,2227730,N,Y,36.1428916,-86.6324313
PAST SALE,April-22-2021,Single Family Residential,304 Conifer Pl,Nashville,TN,37214,310000,3,2.0,Larchwood,1266,10890,1980,,245,,Sold,,,http://www.redfin.com/TN/Nashville/304-Conifer-Pl-37214/home/108054221,REALTRACS,2237482,N,Y,36.146242,-86.6295517
PAST SALE,January-29-2021,Single Family Residential,2345 Dennywood Dr,Nashville,TN,37214,325000,4,3.0,Maplecrest,1300,18295,1953,,250,,Sold,,,http://www.redfin.com/TN/Nashville/2345-Dennywood-Dr-37214/home/108005256,REALTRACS,2210310,N,Y,36.1796256,-86.6838628
PAST SALE,November-20-2020,Single Family Residential,409 Woodberry Dr,Nashville,TN,37214,240000,3,1.0,Cloverdale,1286,23086,1955,,187,,Sold,,,http://www.redfin.com/TN/Nashville/409-Woodberry-Dr-37214/home/108053434,REALTRACS,2195050,N,Y,36.1584276,-86.6866222
PAST SALE,April-30-2021,Single Family Residential,2233 Maplecrest Dr,Nashville,TN,37214,299900,3,2.0,Maplecrest,1344,10018,1955,,223,,Sold,,,http://www.redfin.com/TN/Nashville/2233-Maplecrest-Dr-37214/home/108033707,REALTRACS,2219087,N,Y,36.1773661,-86.6911059
PAST SALE,March-18-2021,Single Family Residential,77 Donelson St,Nashville,TN,37210,310000,3,2.0,Hermitage,1456,7405,1920,,213,,Sold,,,http://www.redfin.com/TN/Nashville/77-Donelson-St-37210/home/108078965,REALTRACS,2227247,N,Y,36.1503317,-86.7549348
PAST SALE,January-11-2021,Single Family Residential,410 Annex Ave,Nashville,TN,37209,290000,3,1.5,"Charlotte Park, West",1350,11761,1967,,215,,Sold,,,http://www.redfin.com/TN/Nashville/410-Annex-Ave-37209/home/108079636,REALTRACS,2215086,N,Y,36.1445978,-86.8891584
PAST SALE,April-1-2021,Single Family Residential,434 Wingrove Ave,Nashville,TN,37203,425000,3,2.0,Wedgewood/Houston/Fairgrou,1500,7405,1959,,283,,Sold,,,http://www.redfin.com/TN/Nashville/434-Wingrove-Ave-37203/home/108035319,REALTRACS,2215255,N,Y,36.1359768,-86.7630845
PAST SALE,April-5-2021,Single Family Residential,409 32nd Ave S,Nashville,TN,37212,400000,4,2.0,Nashville,1500,7405,1930,,267,,Sold,,,http://www.redfin.com/TN/Nashville/409-32nd-Ave-S-37212/home/108053224,REALTRACS,2211977,N,Y,36.1385116,-86.813816
PAST SALE,April-19-2021,Single Family Residential,708 Lischey Ave,Nashville,TN,37207,376000,3,2.0,East Nashville Real Estate,1270,6534,1963,,296,,Sold,,,http://www.redfin.com/TN/Nashville/708-Lischey-Ave-37207/home/107995464,REALTRACS,2245751,N,Y,36.1832005,-86.765303
PAST SALE,April-30-2021,Single Family Residential,813 N 6th St,Nashville,TN,37207,439000,3,2.0,J B Haynies Millers,1340,7405,2005,,328,,Sold,,,http://www.redfin.com/TN/Nashville/813-N-6th-St-37207/home/107999278,REALTRACS,2230059,N,Y,36.1849706,-86.7618079
PAST SALE,April-12-2021,Single Family Residential,5511 Knob Rd,Nashville,TN,37209,525000,3,2.0,Brookside Court,1444,15245,1949,,364,,Sold,,,http://www.redfin.com/TN/Nashville/5511-Knob-Rd-37209/home/102801915,REALTRACS,2234612,N,Y,36.1388454,-86.8533169
PAST SALE,,Single Family Residential,923 Sutton Hill Rd,Nashville,TN,37204,550000,3,2.0,,1372,14810,1945,,401,,,,,http://www.redfin.com/TN/Nashville/923-Sutton-Hill-Rd-37204/home/87829599,,,N,Y,36.1136109,-86.7831674
PAST SALE,,Single Family Residential,917 Woodmont Blvd,Nashville,TN,37204,525000,3,2.0,,1460,13068,1945,,360,,,,,http://www.redfin.com/TN/Nashville/917-Woodmont-Blvd-37204/home/105642799,,,N,Y,36.1101962,-86.7839541
PAST SALE,December-4-2020,Single Family Residential,928 Beech Bend Dr,Nashville,TN,37221,338000,3,2.0,Harpeth Valley + Greenway!,1320,20473,1979,,256,,Sold,,,http://www.redfin.com/TN/Nashville/928-Beech-Bend-Dr-37221/home/60853858,REALTRACS,2211441,N,Y,36.0553532,-86.9418812
PAST SALE,February-19-2021,Single Family Residential,412 Grapevine Ave,Madison,TN,37115,308000,3,2.0,Montague,1350,6969,1979,,228,,Sold,,,http://www.redfin.com/TN/Madison/412-Grapevine-Ave-37115/home/60735666,REALTRACS,2220066,N,Y,36.2445162,-86.7119066
PAST SALE,February-18-2021,Single Family Residential,2610 Paddle Wheel Dr,Nashville,TN,37214,268800,3,2.5,River Trace Estates,1398,7405,1987,,192,,Sold,,,http://www.redfin.com/TN/Nashville/2610-Paddle-Wheel-Dr-37214/unit-3B/home/87818994,REALTRACS,2213781,N,Y,36.2343238,-86.6984206
PAST SALE,December-31-2020,Single Family Residential,316 Madison Blvd,Madison,TN,37115,312000,3,2.0,Power & Roth Madison Park,1357,8276,1935,,230,,Sold,,,http://www.redfin.com/TN/Madison/316-Madison-Blvd-37115/home/107994744,REALTRACS,2211420,N,Y,36.2522256,-86.7089974
PAST SALE,April-15-2021,Single Family Residential,523 Fedders Dr,Madison,TN,37115,255000,4,2.0,Madison Park,1430,9583,1966,,178,,Sold,,,http://www.redfin.com/TN/Madison/523-Fedders-Dr-37115/home/108119777,REALTRACS,2231401,N,Y,36.2722096,-86.6992267
