SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,,Single Family Residential,4502 Old Hickory Blvd,Nashville,TN,37218,215000,3,1.5,,1440,265716,1980,,149,,,,,http://www.redfin.com/TN/Nashville/4502-Old-Hickory-Blvd-37218/home/108076548,,,N,Y,36.175329,-86.92856
PAST SALE,January-14-2021,Single Family Residential,6249 Eatons Creek Rd,Joelton,TN,37080,223000,2,1.0,Joelton,1311,87991,1960,,170,,Sold,,,http://www.redfin.com/TN/Joelton/6249-Eatons-Creek-Rd-37080/home/60698856,REALTRACS,2195935,N,Y,36.3142693,-86.8771922
PAST SALE,April-15-2021,Ranch,3560 Bear Hollow Rd,Whites Creek,TN,37189,90000,0,,Whites Creek,,435600,,,,,Sold,,,http://www.redfin.com/TN/Whites-Creek/3560-Bear-Hollow-Rd-37189/unit-A/home/108052725,REALTRACS,2215285,N,Y,36.3013899,-86.8634564
PAST SALE,,Single Family Residential,7368 Whites Creek Pike,Joelton,TN,37080,760000,3,1.0,,1264,190793,1899,,601,,,,,http://www.redfin.com/TN/Joelton/7368-Whites-Creek-Pike-37080/home/60882724,,,N,Y,36.3274169,-86.868786
PAST SALE,April-27-2021,Single Family Residential,3209 Hamilton Church Rd,Antioch,TN,37013,189000,3,2.0,Antioch,1344,87120,1997,,141,,Sold,,,http://www.redfin.com/TN/Antioch/3209-Hamilton-Church-Rd-37013/home/108132109,REALTRACS,2244057,N,Y,36.0640909,-86.6189639
PAST SALE,,Single Family Residential,9695 TN-96,Nashville,TN,37221,250000,3,1.0,,1100,815443,1961,,227,,,,,http://www.redfin.com/TN/Nashville/9695-TN-96-37221/home/108042455,,,N,Y,36.0123251,-87.0282668
PAST SALE,April-15-2021,Single Family Residential,7940 Hooten Hows Rd,Nashville,TN,37221,391000,2,2.0,Nashville,1303,87120,1961,,300,,Sold,,,http://www.redfin.com/TN/Nashville/7940-Hooten-Hows-Rd-37221/home/107981489,REALTRACS,2237789,N,Y,36.078771,-86.9688027
PAST SALE,,Single Family Residential,8441 Merrymount Dr,Nashville,TN,37221,100000,3,2.0,,1450,118483,1970,,69,,,,,http://www.redfin.com/TN/Nashville/8441-Merrymount-Dr-37221/home/87806354,,,N,Y,36.0833436,-86.9920645
PAST SALE,April-30-2021,Single Family Residential,6133 N New Hope Rd,Hermitage,TN,37076,317000,4,2.0,Lamb Acres,1440,104108,1960,,220,,Sold,,,http://www.redfin.com/TN/Hermitage/6133-N-New-Hope-Rd-37076/home/108005149,REALTRACS,2235026,N,Y,36.176376,-86.581561
PAST SALE,December-31-2020,Single Family Residential,2495 Tinnin Rd,Goodlettsville,TN,37072,270000,2,2.0,Goodlettsville,1430,307533,1992,,189,,Sold,,,http://www.redfin.com/TN/Goodlettsville/2495-Tinnin-Rd-37072/home/87801814,REALTRACS,2195449,N,Y,36.395834,-86.744997
