SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,February-23-2021,Single Family Residential,1414 Timber Valley Dr,Nashville,TN,37214,230000,5,2.0,Percy Priest Woods,1872,4791,1984,,123,,Sold,,,http://www.redfin.com/TN/Nashville/1414-Timber-Valley-Dr-37214/home/108053303,REALTRACS,2223439,N,Y,36.1291096,-86.6377663
PAST SALE,,Single Family Residential,3445 Country Way Rd,Antioch,TN,37013,240500,3,2.0,,1946,8712,1987,,124,,,,,http://www.redfin.com/TN/Antioch/3445-Country-Way-Rd-37013/home/107990863,,,N,Y,36.0732969,-86.5991079
PAST SALE,January-27-2021,Single Family Residential,3720 Colonial Heritage Dr S,Nashville,TN,37217,213500,4,3.0,Heritage Village Of Priest,1776,5227,1979,,120,100,Sold,,,http://www.redfin.com/TN/Nashville/3720-Colonial-Heritage-Dr-37217/home/87829908,REALTRACS,2210351,N,Y,36.1013766,-86.6067434
PAST SALE,March-17-2021,Single Family Residential,1518 Norvel Ave,Nashville,TN,37216,520000,3,2.5,Inglewood Golf Club,1920,10890,1974,,271,,Sold,,,http://www.redfin.com/TN/Nashville/1518-Norvel-Ave-37216/home/107984426,REALTRACS,2230298,N,Y,36.2122157,-86.7194054
PAST SALE,,Single Family Residential,1413 Trace Ridge Ln,Nashville,TN,37221,481000,3,2.5,,1984,10890,2001,,242,,,,,http://www.redfin.com/TN/Nashville/1413-Trace-Ridge-Ln-37221/home/108045951,,,N,Y,36.0322597,-86.9658449
PAST SALE,January-29-2021,Single Family Residential,2243 Grandview Ave,Nashville,TN,37211,439500,3,2.5,Rosedale,1996,,2020,,220,,Sold,,,http://www.redfin.com/TN/Nashville/2243-Grandview-Ave-37211/home/108026160,REALTRACS,2215838,N,Y,36.1229435,-86.7529389
PAST SALE,March-19-2021,Single Family Residential,208 Cleveland St,Nashville,TN,37207,436000,3,2.0,Dr V S Lindsley/Edgefield,1768,5662,1960,,247,,Sold,,,http://www.redfin.com/TN/Nashville/208-Cleveland-St-37207/home/107983143,REALTRACS,2227721,N,Y,36.1869308,-86.7700937
PAST SALE,,Single Family Residential,204 Bellmore Ave,Nashville,TN,37209,263000,4,2.0,,1950,10890,1959,,135,,,,,http://www.redfin.com/TN/Nashville/204-Bellmore-Ave-37209/home/68800570,,,N,Y,36.1450038,-86.8607522
PAST SALE,November-30-2020,Single Family Residential,410 Alden Ct,Nashville,TN,37209,574900,3,2.5,Brookside Courts,1918,4791,1985,,300,,Sold,,,http://www.redfin.com/TN/Nashville/410-Alden-Ct-37209/home/63732468,REALTRACS,2200953,N,Y,36.1402538,-86.8604216
PAST SALE,May-3-2021,Single Family Residential,1206 Riverside Dr N,Nashville,TN,37206,417000,3,2.0,Ashworth/Brownsville,1815,8712,1934,,230,,Sold,,,http://www.redfin.com/TN/Nashville/1206-Riverside-Dr-37206/home/108112959,REALTRACS,2238182,N,Y,36.1887886,-86.7268234
