SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,November-18-2020,Townhouse,2715 Smith Springs Rd,Nashville,TN,37217,225000,3,2.0,Spring View Townhomes,2000,1306,1984,,113,190,Sold,,,http://www.redfin.com/TN/Nashville/2715-Smith-Springs-Rd-37217/home/60650982,REALTRACS,2193727,N,Y,36.0894733,-86.624853
PAST SALE,December-18-2020,Townhouse,1103 Woodbury Falls Ct,Nashville,TN,37221,298900,3,3.0,Woodbury,1977,871,2010,,151,150,Sold,,,http://www.redfin.com/TN/Nashville/1103-Woodbury-Falls-Ct-37221/home/108046140,REALTRACS,2205668,N,Y,36.088537,-86.921953
PAST SALE,April-7-2021,Condo/Co-op,104 Colbert Way,Nashville,TN,37206,401600,3,2.5,Joule,1770,871,2017,,227,148,Sold,,,http://www.redfin.com/TN/Nashville/104-Colbert-Way-37206/home/144496410,REALTRACS,2230983,N,Y,36.1908295,-86.7101807
PAST SALE,February-2-2021,Single Family Residential,221 Sterling Point Cir,Nashville,TN,37209,432600,3,3.5,Charlotte Park,1990,871,2020,,217,165,Sold,,,http://www.redfin.com/TN/Nashville/Sterling-Point-Cir-37209/home/148402049,REALTRACS,2171685,N,Y,36.157735,-86.864301
PAST SALE,February-3-2021,Single Family Residential,1402 63rd Ave N,Nashville,TN,37209,439900,3,2.5,The Nations,1800,871,2016,,244,,Sold,,,http://www.redfin.com/TN/Nashville/1402-63rd-Ave-N-37209/home/107954925,REALTRACS,2212250,N,Y,36.16718,-86.8636548
PAST SALE,,Condo/Co-op,643 Vernon Ave #3,Nashville,TN,37209,415000,3,3.5,,2044,,2019,,203,,,,,http://www.redfin.com/TN/Nashville/643-Vernon-Ave-37209/unit-3/home/148399526,,,N,Y,36.159725,-86.868483
PAST SALE,April-7-2021,Single Family Residential,114 Walden Village Ct,Nashville,TN,37210,430000,4,3.5,Walden Village,1935,871,2017,,222,75,Sold,,,http://www.redfin.com/TN/Nashville/114-Walden-Village-Ln-37210/home/112484945,REALTRACS,2221796,N,Y,36.1426821,-86.7490993
PAST SALE,April-27-2021,Townhouse,1340 Riverbrook Dr,Hermitage,TN,37076,345000,3,2.5,Villages Of Riverwood,1952,3049,2010,,177,150,Sold,,,http://www.redfin.com/TN/Hermitage/1340-Riverbrook-Dr-37076/home/108107220,REALTRACS,2227439,N,Y,36.1688733,-86.6174267
PAST SALE,March-30-2021,Single Family Residential,507 Southgate Ave,Nashville,TN,37203,575000,3,2.5,Southgate Townhomes,1994,871,2014,,288,75,Sold,,,http://www.redfin.com/TN/Nashville/507-Southgate-Ave-37203/home/60834293,REALTRACS,2221068,N,Y,36.1357598,-86.7670978
PAST SALE,February-17-2021,Condo/Co-op,3014 Hedrick St #505,Nashville,TN,37203,410000,2,2.5,West End Lofts,1872,1742,2001,,219,513,Sold,,,http://www.redfin.com/TN/Nashville/3014-Hedrick-St-37203/unit-505/home/108104601,REALTRACS,2183694,N,Y,36.1442175,-86.8155617
