SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,November-13-2020,Single Family Residential,4765 Kennysaw Dr,Old Hickory,TN,37138,287900,5,4.0,Sherwood Forest,2695,16988,1973,,107,,Sold,,,http://www.redfin.com/TN/Old-Hickory/4765-Kennysaw-Dr-37138/home/104489254,REALTRACS,2188524,N,Y,36.227282,-86.591229
PAST SALE,April-7-2021,Single Family Residential,3033 Summercrest Trl,Antioch,TN,37013,345000,4,2.5,Summerfield Village,2688,6534,2002,,128,33,Sold,,,http://www.redfin.com/TN/Antioch/3033-Summercrest-Trl-37013/home/108115745,REALTRACS,2230077,N,Y,36.0457956,-86.6215229
PAST SALE,,Condo/Co-op,2506 Carter Ave Unit B,Nashville,TN,37206,575000,3,2.5,,2580,,2014,,223,,,,,http://www.redfin.com/TN/Nashville/2506-Carter-Ave-37206/unit-B/home/112481673,,,N,Y,36.1877445,-86.7141866
PAST SALE,January-5-2021,Single Family Residential,1510 Dugger Dr,Nashville,TN,37206,645000,3,3.5,Dugger Heights,2644,16988,2020,,244,,Sold,,,http://www.redfin.com/TN/Nashville/1510-Dugger-Dr-37206/home/108034860,REALTRACS,2202622,N,Y,36.1937998,-86.7125356
PAST SALE,March-12-2021,Single Family Residential,1707 Riverwood Dr,Nashville,TN,37216,605000,5,3.0,Inglewood,2602,9583,1940,,233,,Sold,,,http://www.redfin.com/TN/Nashville/1707-Riverwood-Dr-37216/home/108060218,REALTRACS,2222592,N,Y,36.2139962,-86.7091546
PAST SALE,,Condo/Co-op,323 Mckennell Dr Unit A,Nashville,TN,37206,550000,4,3.0,,2500,,1963,,220,,,,,http://www.redfin.com/TN/Nashville/323-Mckennell-Dr-37206/unit-A/home/148400656,,,N,Y,36.1912241,-86.7205939
PAST SALE,March-29-2021,Single Family Residential,2106 Rosecliff Dr,Nashville,TN,37206,420000,5,2.0,Rose Bank,2532,31363,1952,,166,,Sold,,,http://www.redfin.com/TN/Nashville/2106-Rosecliff-Dr-37206/home/107985857,REALTRACS,2205352,N,Y,36.190503,-86.7128108
PAST SALE,November-21-2020,Single Family Residential,4307 Dakota Ave,Nashville,TN,37209,767500,3,2.5,Sylvan Park,2637,,2020,,291,6,Sold,,,http://www.redfin.com/TN/Nashville/4307-Dakota-Ave-37209/home/108113924,REALTRACS,2181395,N,Y,36.147432,-86.838901
PAST SALE,February-22-2021,Single Family Residential,5004 Dakota Ave,Nashville,TN,37209,854500,4,3.0,Sylvan Park,2708,7405,2012,,316,,Sold,,,http://www.redfin.com/TN/Nashville/5004-Dakota-Ave-37209/home/60865071,REALTRACS,2217900,N,Y,36.1476678,-86.8475425
PAST SALE,March-5-2021,Single Family Residential,110 Oceola Ave #5,Nashville,TN,37209,599000,3,2.5,Oceola Park,2643,871,2021,,227,150,Sold,,,http://www.redfin.com/TN/Nashville/110-Oceola-Ave-37209/unit-5/home/172576275,REALTRACS,2198549,N,Y,36.1431843,-86.8592628
PAST SALE,March-16-2021,Single Family Residential,110 Oceola Ave #4,Nashville,TN,37209,599000,3,2.5,Oceola Park,2643,871,2021,,227,150,Sold,,,http://www.redfin.com/TN/Nashville/110-Oceola-Ave-37209/unit-4/home/174325496,REALTRACS,2224522,N,Y,36.1431843,-86.8592628
PAST SALE,March-8-2021,Single Family Residential,110 Oceola Ave #6,Nashville,TN,37209,625000,3,2.5,Oceola Park,2643,871,2021,,236,150,Sold,,,http://www.redfin.com/TN/Nashville/110-Oceola-Ave-37209/unit-6/home/170138677,REALTRACS,2220784,N,Y,36.1431843,-86.8592628
PAST SALE,January-15-2021,Single Family Residential,2301B Carter Ave,Nashville,TN,37206,629900,4,3.0,2301A-2301B Carter Avenue,2697,1742,2018,,234,,Sold,,,http://www.redfin.com/TN/Nashville/2301B-Carter-Ave-37206/home/172304582,REALTRACS,2213383,N,Y,36.1896925,-86.7220855
PAST SALE,January-15-2021,Single Family Residential,109 Blue Hills Ct,Nashville,TN,37214,410000,4,3.0,Castlewood Estates,2684,26571,1960,,153,,Sold,,,http://www.redfin.com/TN/Nashville/109-Blue-Hills-Ct-37214/home/108034167,REALTRACS,2200153,N,Y,36.1727614,-86.6870815
PAST SALE,February-12-2021,Single Family Residential,209 Bermuda Dr,Nashville,TN,37214,393000,3,3.0,Donelson Meadows,2616,36590,1956,,150,,Sold,,,http://www.redfin.com/TN/Nashville/209-Bermuda-Dr-37214/home/107997129,REALTRACS,2217777,N,Y,36.1755049,-86.6957766
PAST SALE,November-13-2020,Single Family Residential,118 Claiborne St,Nashville,TN,37210,465000,4,3.0,Maury & Claiborne,2500,5662,2020,,186,,Sold,,,http://www.redfin.com/TN/Nashville/118-Claiborne-St-37210/home/87804810,REALTRACS,2184395,N,Y,36.1529744,-86.7607433
PAST SALE,,Other,14 Shepard St,Nashville,TN,37210,255000,,,,,6970,,,,,,,,http://www.redfin.com/TN/Nashville/14-Shepard-St-37210/home/108036597,,,N,Y,36.1445273,-86.7614984
PAST SALE,February-3-2021,Single Family Residential,1255 John St,Nashville,TN,37210,573200,3,3.0,Trimble,2554,7405,2020,,224,,Sold,,,http://www.redfin.com/TN/Nashville/1255-John-St-37210/home/172022360,REALTRACS,2207355,N,Y,36.1437565,-86.7612339
PAST SALE,,Single Family Residential,1253 John St,Nashville,TN,37210,575000,4,3.0,,2670,,2020,,215,,,,,http://www.redfin.com/TN/Nashville/1253-John-St-37210/home/174899244,,,N,Y,36.143882,-86.761203
