SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,December-2-2020,Single Family Residential,2708 Fogle St,Nashville,TN,37211,385000,3,2.5,Holt Woods,2424,6969,1997,,159,11,Sold,,,http://www.redfin.com/TN/Nashville/2708-Fogle-St-37211/home/103956604,REALTRACS,2201903,N,Y,36.0175627,-86.722677
PAST SALE,March-4-2021,Single Family Residential,1802B Tammany Dr Unit B,Nashville,TN,37216,513000,3,2.5,1802 Tammany Commons,2286,1306,2018,,224,,Sold,,,http://www.redfin.com/TN/Nashville/1802B-Tammany-Dr-37216/unit-B/home/174292590,REALTRACS,2223513,N,Y,36.1990308,-86.720577
PAST SALE,February-11-2021,Single Family Residential,104 39th Ave N,Nashville,TN,37209,700000,3,3.0,Sylvan Park,2420,7840,1945,,289,,Sold,,,http://www.redfin.com/TN/Nashville/104-39th-Ave-N-37209/home/108133778,REALTRACS,2214504,N,Y,36.1413503,-86.8313881
PAST SALE,December-18-2020,Condo/Co-op,214 Scott Ave,Nashville,TN,37206,585000,5,3.5,East Nashville,2418,1306,2014,,242,,Sold,,,http://www.redfin.com/TN/Nashville/214-Scott-Ave-37206/home/60787963,REALTRACS,2199029,N,Y,36.1846738,-86.7340062
PAST SALE,December-21-2020,Single Family Residential,1000 59th Ave N,Nashville,TN,37209,605000,4,2.5,The Nations,2445,871,2019,,247,,Sold,,,http://www.redfin.com/TN/Nashville/1000-59th-Ave-N-37209/home/160515737,REALTRACS,2202974,N,Y,36.1607474,-86.8593091
PAST SALE,March-1-2021,Single Family Residential,1414 62nd Ave N,Nashville,TN,37209,540000,3,3.5,The Nations,2430,1306,2016,,222,,Sold,,,http://www.redfin.com/TN/Nashville/1414-62nd-Ave-N-37209/home/112379324,REALTRACS,2225740,N,Y,36.1663539,-86.8622436
PAST SALE,November-13-2020,Single Family Residential,118 Claiborne St,Nashville,TN,37210,465000,4,3.0,Maury & Claiborne,2500,5662,2020,,186,,Sold,,,http://www.redfin.com/TN/Nashville/118-Claiborne-St-37210/home/87804810,REALTRACS,2184395,N,Y,36.1529744,-86.7607433
PAST SALE,February-4-2021,Condo/Co-op,3746 Central Pike #5,Hermitage,TN,37076,407000,4,4.0,6Teen On Central,2286,871,2020,,178,155,Sold,,,http://www.redfin.com/TN/Hermitage/3746-Central-Pike-37076/unit-5/home/148399285,REALTRACS,2210920,N,Y,36.1776392,-86.6172236
PAST SALE,November-20-2020,Single Family Residential,240 Hermitage Point Dr,Hermitage,TN,37076,377945,3,2.5,Hermitage Point,2410,7840,2020,,157,35,Sold,,,http://www.redfin.com/TN/Hermitage/240-Hermitage-Point-Dr-37076/home/171835751,REALTRACS,2152862,N,Y,36.1733441,-86.6201702
PAST SALE,December-18-2020,Single Family Residential,701 Hart Ave,Nashville,TN,37206,517000,4,2.5,J W Hart,2343,1742,2020,,221,,Sold,,,http://www.redfin.com/TN/Nashville/701-Hart-Ave-37206/home/108032957,REALTRACS,2196890,N,Y,36.182478,-86.755661
