SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,April-23-2021,Townhouse,3110 Woodymore Dr,Antioch,TN,37013,195000,3,1.0,Woodymore Heights,1185,6969,1986,,165,,Sold,,,http://www.redfin.com/TN/Antioch/3110-Woodymore-Dr-37013/home/68710664,REALTRACS,2234144,N,Y,36.076293,-86.609455
PAST SALE,April-15-2021,Single Family Residential,5805 Mackie Pl,Nashville,TN,37209,332500,3,2.0,Ries/Cockrill Farm,1120,5227,1992,,297,,Sold,,,http://www.redfin.com/TN/Nashville/5805-Mackie-Pl-37209/home/68840912,REALTRACS,2233386,N,Y,36.1563832,-86.8598507
PAST SALE,March-26-2021,Single Family Residential,340 Thelma St,Madison,TN,37115,163500,2,1.0,Woodlawn Estates,1000,8276,1950,,164,,Sold,,,http://www.redfin.com/TN/Madison/340-Thelma-St-37115/home/108024147,REALTRACS,2220478,N,Y,36.2645595,-86.7083192
PAST SALE,December-18-2020,Townhouse,1008 Patio Dr,Nashville,TN,37214,190000,2,1.5,Patio Villa,1020,6098,1986,,186,,Sold,,,http://www.redfin.com/TN/Nashville/1008-Patio-Dr-37214/home/108036576,REALTRACS,2206673,N,Y,36.1456084,-86.6404874
PAST SALE,,Single Family Residential,2216 Ravenwood Dr,Nashville,TN,37216,352000,2,1.0,,1100,14375,1952,,320,,,,,http://www.redfin.com/TN/Nashville/2216-Ravenwood-Dr-37216/home/60801699,,,N,Y,36.2034564,-86.7140294
PAST SALE,,Single Family Residential,1423 McAlpine Ave Unit B,Nashville,TN,37216,350000,3,2.0,,1082,8712,2004,,323,,,,,http://www.redfin.com/TN/Nashville/1423-McAlpine-Ave-37216/unit-B/home/87801756,,,N,Y,36.2138201,-86.7130625
PAST SALE,January-22-2021,Single Family Residential,2117 Gladstone Ave,Nashville,TN,37211,265000,4,1.0,Corinne Place,1008,12632,1940,,263,,Sold,,,http://www.redfin.com/TN/Nashville/2117-Gladstone-Ave-37211/home/108026790,REALTRACS,2201100,N,Y,36.1269716,-86.7580376
PAST SALE,December-15-2020,Single Family Residential,2236 Cruzen St,Nashville,TN,37211,225000,3,1.0,Grandview Heights,1000,7405,1950,,225,,Sold,,,http://www.redfin.com/TN/Nashville/2236-Cruzen-St-37211/home/104293412,REALTRACS,2209185,N,Y,36.1226445,-86.7548169
PAST SALE,,Single Family Residential,2239 Grandview Ave Unit A,Nashville,TN,37211,280000,2,1.5,,1080,12197,1954,,259,,,,,http://www.redfin.com/TN/Nashville/2239-Grandview-Ave-37211/unit-A/home/107986351,,,N,Y,36.1233155,-86.7529708
PAST SALE,March-24-2021,Single Family Residential,4709 Nevada Ave,Nashville,TN,37209,400000,3,1.0,Charlotte Park,1100,7405,1930,,364,,Sold,,,http://www.redfin.com/TN/Nashville/4709-Nevada-Ave-37209/home/108052610,REALTRACS,2219071,N,Y,36.1483641,-86.8441905
PAST SALE,,Single Family Residential,203 Berry St,Nashville,TN,37207,233000,2,1.0,,1025,8712,1960,,227,,,,,http://www.redfin.com/TN/Nashville/203-Berry-St-37207/home/87826180,,,N,Y,36.1816012,-86.7712127
PAST SALE,January-12-2021,Single Family Residential,5423 Oakmont Cir E,Nashville,TN,37209,305000,2,1.0,Richland Meadows,1034,7405,1954,,295,,Sold,,,http://www.redfin.com/TN/Nashville/5423-Oakmont-Cir-37209/home/108052432,REALTRACS,2202243,N,Y,36.1407672,-86.8523544
PAST SALE,January-21-2021,Single Family Residential,5505 Burgess Ave,Nashville,TN,37209,347000,2,1.0,White Bridge,1047,6969,1953,,331,,Sold,,,http://www.redfin.com/TN/Nashville/5505-Burgess-Ave-37209/home/108090048,REALTRACS,2214440,N,Y,36.1447369,-86.8570287
PAST SALE,February-26-2021,Single Family Residential,5208 Nevada Ave,Nashville,TN,37209,375000,2,1.0,Realty Savings Bank & Trus,1008,6098,1940,,372,,Sold,,,http://www.redfin.com/TN/Nashville/5208-Nevada-Ave-37209/home/108063570,REALTRACS,2226598,N,Y,36.1486382,-86.8506002
PAST SALE,November-18-2020,Single Family Residential,214 Perlen Dr,Nashville,TN,37206,317000,2,1.0,Fortland Park,1150,10018,1958,,276,,Sold,,,http://www.redfin.com/TN/Nashville/214-Perlen-Dr-37206/home/107985506,REALTRACS,2198554,N,Y,36.1761247,-86.7246436
PAST SALE,March-2-2021,Single Family Residential,747 Croley Dr,Nashville,TN,37209,266500,3,1.0,Jameswood,1015,4791,1968,,263,,Sold,,,http://www.redfin.com/TN/Nashville/747-Croley-Dr-37209/home/108086118,REALTRACS,2222506,N,Y,36.1607052,-86.8744284
